(Table with row headers in Col A and column headers in row 5),,,,,,,
Table 3.  World Region and Country or Area of Birth of the Foreign-Born Population: 1960 to 2000,,,,,,,
(Leading dots indicate subparts),,,,,,,
"(See text for sources, definitions, and explanations)",,,,,,,
Region and country or area,2000*,1990*,1980*,1970*,1960*,,
..      Asia n.e.c. 5 .......................................................,"38,652","6,434","8,679","77,732","19,371",,
,,,,,,,
.   Africa.................................................…..……………....,"881,300","363,819","199,723","80,143","35,355",,
..      Eastern Africa....................................................…,"213,299","72,300","26,036",(NA),(NA),,
...         Eritrea.......................................................,"17,518",(NA),(NA),(NA),(NA),,
...         Ethiopia.......................................................,"69,531","34,805","7,516",(NA),(NA),,
...         Kenya.......................................................,"40,682","14,371","6,250",(NA),(NA),,
...         Somalia.......................................................,"35,760","2,437",691,(NA),(NA),,
...         Tanzania.......................................................,"11,389","6,282","3,246",(NA),(NA),,
...         Uganda.......................................................,"11,741","6,684","3,804",(NA),(NA),,
...         Zambia.......................................................,"5,987","2,954","1,346",(NA),(NA),,
...         Zimbabwe.......................................................,"10,686","4,767","3,183",(NA),(NA),,
,,,,,,,
..      Middle Africa.......................................................,"26,900","8,800","3,719",(NA),(NA),,
...         Angola.......................................................,"4,365","2,252","1,094",(NA),(NA),,
...         Cameroon.......................................................,"11,765","3,161","1,214",(NA),(NA),,
...         Zaire (Democratic Republic of Congo)..................................................…………….....,"4,989","3,387","1,411",(NA),(NA),,
,,,,,,,
..      Northern Africa....................................................…,"190,491","99,044","69,777","32,396","15,903",,
...         Algeria....................................................…,"10,882","4,629","3,853",(NA),(NA),,
...         Egypt..............................................……………........,"113,396","66,313","43,424","20,666","8,316",,
...         Libya.................................................…………......,"5,364","4,037","6,427",(NA),(NA),,
...         Morocco....................................................…,"34,682","15,541","9,896",(NA),(NA),,
...         Sudan....................................................…,"19,790","4,423","2,711",(NA),(NA),,
...         Tunisia....................................................…,"6,330","4,101","3,466",(NA),(NA),,
...         Northern Africa n.e.c........................................................,(NA),(NA),(NA),"11,730","7,587",,
,,,,,,,
..      Southern Africa.......................................................,"66,496","34,707","16,103",(NA),(NA),,
...         South Africa.......................................................,"63,558","34,707","16,103","7,667","5,394",,
,,,,,,,
..      Western Africa.......................................................,"326,507","111,566","50,002",(NA),(NA),,
...         Cape Verde 6 .......................................................,"26,606","14,368","10,457","18,680","8,302",,
...         Gambia.......................................................,"5,765","1,485",(NA),(NA),(NA),,
...         Ghana.......................................................,"65,572","20,889","7,564",(NA),(NA),,
...         Guinea.......................................................,"5,062","1,032",(NA),(NA),(NA),,
...         Ivory Coast (Cote d'Ivoire).......................................................,"7,173","1,388",(NA),(NA),(NA),,
...         Liberia.......................................................,"39,029","11,455","3,728",(NA),(NA),,
...         Nigeria.......................................................,"134,940","55,350","25,528",(NA),(NA),,
...         Senegal.......................................................,"10,534","2,287",762,(NA),(NA),,
...         Sierra Leone.......................................................,"20,831","7,217","1,963",(NA),(NA),,
..      Africa n.e.c........................................................,"57,607","37,402","34,086","21,400","5,756",,
,,,,,,,
.   Oceania..................................................…………….....,"168,046","104,145","77,577","41,258","34,730",,
..      Australia and New Zealand.......................................................,"83,837","57,682","47,533","32,388","28,035",,
....            Australia.......................................................,"60,965","42,267","36,120","24,271","22,209",,
....            New Zealand.......................................................,"22,872","15,415","11,413","8,117","5,826",,
..      Pacific Islands.......................................................,"84,209","46,463","30,044","8,870","6,695",,
...         Melanesia.......................................................,"32,305","16,759","8,241",(NA),(NA),,
....            Fiji..................................................………………....,"30,890","15,935","7,538",(NA),(NA),,
...         Micronesia.......................................................,"16,469","6,143","1,399",(NA),(NA),,
....            Marshall Islands.......................................................,"6,318","1,086",(NA),(NA),(NA),,
....            Micronesia 7 .......................................................,"7,088","2,741",(NA),(NA),(NA),,
...         Polynesia.......................................................,"35,194","23,471","19,578",(NA),(NA),,
....            Samoa (Western Samoa).......................................................,"16,438","11,408","12,582",(NA),(NA),,
....            Tonga.......................................................,"17,269","10,668","5,619",(NA),(NA),,
...         Oceania n.e.c........................................................,241,90,826,(NA),(NA),,
,,,,,,,
.   Latin America.......................................................,"16,086,974","8,407,837","4,372,487","1,803,970","908,309",,
..      Caribbean.......................................................,"2,953,066","1,938,348","1,258,363","675,108","193,922",,
...         Antigua & Barbuda.......................................................,"18,324","12,022","3,920",(NA),(NA),,
...         Aruba.......................................................,"3,814","3,363","2,597",(NA),(NA),,
...         Bahamas.......................................................,"28,076","21,633","13,993",(NA),(NA),,
...         Barbados.......................................................,"52,172","43,015","26,847",(NA),(NA),,
...         Cuba.................................................…………......,"872,716","736,971","607,814","439,048","79,150",,
...         Dominica.......................................................,"15,639","19,529","3,296",(NA),(NA),,
...         Dominican Republic.......................................................,"687,677","347,858","169,147","61,228","11,883",,
...         Grenada.......................................................,"29,272","17,730","7,101",(NA),(NA),,
...         Haiti............................................………………...........,"419,317","225,393","92,395","28,026","4,816",,
...         Jamaica.............................................………………......…,"553,827","334,140","196,811","68,576","24,759",,
...         Montserrat.......................................................,"3,905","3,493","1,212",(NA),(NA),,
...         Netherlands Antilles.......................................................,"3,428","3,426","5,123",(NA),(NA),,
...         St. Kitts-Nevis.......................................................,"11,054","7,447","1,903",(NA),(NA),,
...         St. Lucia.......................................................,"13,524","6,959","1,901",(NA),(NA),,
...         St. Vincent & the Grenadines.......................................................,"19,984","12,824","4,044",(NA),(NA),,
...         Trinidad & Tobago.......................................................,"197,398","115,710","65,907","20,673",(NA),,
...         Other Caribbean.......................................................,"22,939","26,835","54,352","57,557","73,314",,
....            West Indies n.e.c........................................................,"13,546","18,509",(NA),"57,557","73,314",,
....            Other.......................................................,"9,393","8,326","54,352",(NA),(NA),,
,,,,,,,
..      Central America.......................................................,"11,203,637","5,431,992","2,553,113","873,624","624,851",,
...         Mexico.......................................................,"9,177,487","4,298,014","2,199,221","759,711","575,902",,
...         Other Central America.......................................................,"2,026,150","1,133,978","353,892","113,913","48,949",,
....            Belize.......................................................,"40,151","29,957","14,436","8,860","2,780",,
