No.,Gender,Age,Studies,Studies,Position,Date Hired
113,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
114,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
115,Female,32,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
116,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
117,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
118,Female,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
119,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
120,Male,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
121,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
122,Female,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
123,Female,32,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
124,Female,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
125,Male,31,None,None,"AGENTE DE PROTECCION AL MIGRANTE ""B""",5/1/13
126,Female,35,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
127,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
128,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
129,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/1/13
130,Female,32,None,None,"AGENTE DE PROTECCION AL MIGRANTE ""B""",5/16/13
131,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
132,Female,34,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
133,Male,31,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
134,Male,53,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
135,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
136,Male,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
137,Female,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
138,Male,35,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
139,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
140,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",5/16/13
141,Female,35,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",6/1/13
142,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",6/1/13
143,Male,46,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",6/1/13
144,Female,32,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",6/1/13
145,Male,28,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",6/1/13
146,Male,46,None,None,"AGENTE DE PROTECCION AL MIGRANTE ""B""",6/1/13
147,Male,39,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",6/16/13
148,Male,49,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",6/16/13
149,Female,28,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
150,Male,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
151,Male,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
152,Male,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
153,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
154,Female,36,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
155,Female,34,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
156,Female,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
157,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
158,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
159,Female,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
160,Female,32,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
161,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
162,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
163,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
164,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
165,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
166,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
167,Male,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
168,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
169,Male,31,Master's Degree,Master's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
170,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
171,Male,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
172,Male,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
173,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
174,Female,47,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
175,Male,29,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
176,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
177,Male,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
178,Male,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
179,Female,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
180,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
181,Female,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
182,Male,33,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
183,Male,38,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
184,Female,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
185,Male,34,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
186,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
187,Female,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
188,Male,36,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
