Expediente,Ubicacion ,Fecha de Registro,Fecha de Conclusion,Razon de Conclusion,Hechos Violatorios,Autoridad,Pais,Hechos Violatorios,Agency
[C ]2018/8310,Tamaulipas,11/23/18,,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8371,Chiapas,11/27/18,3/28/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8383,Distrito Federal,11/27/18,3/29/19,ORIENTACION,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8384,Distrito Federal,11/27/18,7/31/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8427,,11/28/18,,POR NO EXISTIR MATERIA,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8432,Distrito Federal,11/28/18,,ORIENTACION,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8441,Sonora,11/28/18,7/31/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,National Security Commission
[C ]2018/8442,Estado de México,11/28/18,5/31/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8459,Coahuila,11/28/18,,DURANTE EL TRAMITE RESPECTIVO,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[T ]2018/8463,Chiapas,11/29/18,,,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8499,Distrito Federal,,,ORIENTACION,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8524,Distrito Federal,,,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2018/8525,Chiapas,,,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8526,Distrito Federal,,3/29/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8686,Estado de México,,3/28/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8738,Baja California,,,ORIENTACION,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8740,Chiapas,,,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8744,Veracruz,,2/15/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8787,Distrito Federal,,,ORIENTACION,DETENCION ARBITRARIA,Instituto Nacional de Migracion,Mexico,Detention,INM.
[C ]2018/8788,Sonora,,3/27/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8789,Baja California,,3/12/19,DURANTE EL TRAMITE RESPECTIVO,DEPORTAR EN FORMA ILEGAL,Instituto Nacional de Migracion,Mexico,Deportation or Denied Entry,"Tijuana, Baja California"
[C ]2018/8790,Nuevo León,,2/28/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8798,Tamaulipas,,2/28/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
